,elevation,lat,lon
0,880,60.3268384,9.4876382
1,880,60.3268384,9.4876382
2,880,60.3268384,9.4876382
3,880,60.3268384,9.4876382
4,880,60.3268384,9.4876382
5,880,60.3268384,9.4876382
6,880,60.3268384,9.4876382
7,880,60.3268384,9.4876382
8,880,60.3268384,9.4876382
9,880,60.3268384,9.4876382
10,880,60.3268384,9.4876382
11,880,60.3268384,9.4876382
12,880,60.3268384,9.4876382
13,880,60.3268384,9.4876382
14,880,60.3268384,9.4876382
15,880,60.3268384,9.4876382
16,880,60.3268384,9.4876382
17,880,60.3268384,9.4876382
18,880,60.3268384,9.4876382
19,880,60.3268384,9.4876382
20,880,60.3268384,9.4876382
21,880,60.3268384,9.4876382
22,880,60.3268384,9.4876382
23,880,60.3268384,9.4876382
24,880,60.3268384,9.4876382
25,880,60.3268384,9.4876382
26,880,60.3268384,9.4876382
27,880,60.3268384,9.4876382
28,880,60.3268384,9.4876382
29,880,60.3268384,9.4876382
30,880,60.3268384,9.4876382
31,880,60.3268384,9.4876382
32,880,60.3268384,9.4876382
33,880,60.3268384,9.4876382
34,880,60.3268384,9.4876382
35,880,60.3268384,9.4876382
36,862,60.32770664088834,9.49256223876506
37,857,60.32854850071663,9.492336663103929
38,843,60.3293384,9.491968327018922
39,836,60.33005233804843,9.491468422215593
40,835,60.3306686222156,9.490852138048432
41,830,60.331168527018924,9.490138199999999
42,844,60.33153686310393,9.489348300716628
43,865,60.33176243876506,9.488506440888333
44,882,60.3318384,9.4876382
45,891,60.33176243876506,9.486769959111665
46,896,60.33153686310393,9.48592809928337
47,889,60.331168527018924,9.4851382
48,876,60.3306686222156,9.484424261951567
49,866,60.33005233804843,9.483807977784405
50,860,60.3293384,9.483308072981076
51,856,60.32854850071663,9.48293973689607
52,854,60.32770664088834,9.482714161234938
53,862,60.3268384,9.482638199999998
54,883,60.32597015911166,9.482714161234938
55,901,60.32512829928337,9.48293973689607
56,905,60.3243384,9.483308072981076
57,912,60.32362446195157,9.483807977784405
58,920,60.3230081777844,9.484424261951567
59,927,60.322508272981075,9.4851382
60,931,60.32213993689607,9.48592809928337
61,934,60.32191436123494,9.486769959111665
62,934,60.3218384,9.4876382
63,932,60.32191436123494,9.488506440888333
64,933,60.32213993689607,9.489348300716628
65,933,60.322508272981075,9.490138199999999
66,928,60.3230081777844,9.490852138048432
67,917,60.32362446195157,9.491468422215593
68,910,60.3243384,9.491968327018922
69,901,60.32512829928337,9.492336663103929
70,884,60.32597015911166,9.49256223876506
71,866,60.3268384,9.4926382
72,847,60.32857488177667,9.497486277530122
73,822,60.33025860143326,9.497035126207859
74,806,60.3318384,9.496298454037843
75,804,60.333266276096865,9.49529864443119
76,812,60.33449884443119,9.494066076096864
77,860,60.33549865403784,9.4926382
78,901,60.336235326207856,9.491058401433255
79,915,60.33668647753012,9.489374681776669
80,917,60.3368384,9.4876382
81,915,60.33668647753012,9.48590171822333
82,907,60.336235326207856,9.484217998566743
83,908,60.33549865403784,9.482638199999998
84,905,60.33449884443119,9.481210323903134
85,909,60.333266276096865,9.47997775556881
86,893,60.3318384,9.478977945962155
87,897,60.33025860143326,9.47824127379214
88,878,60.32857488177667,9.477790122469877
89,857,60.3268384,9.4776382
90,865,60.32510191822333,9.477790122469877
91,887,60.32341819856674,9.47824127379214
92,911,60.3218384,9.478977945962155
93,937,60.320410523903135,9.47997775556881
94,951,60.31917795556881,9.481210323903134
95,964,60.31817814596216,9.482638199999998
96,977,60.317441473792144,9.484217998566743
97,1003,60.31699032246988,9.48590171822333
98,1027,60.3168384,9.4876382
99,1015,60.31699032246988,9.489374681776669
0,998,60.317441473792144,9.491058401433255
1,990,60.31817814596216,9.4926382
2,988,60.31917795556881,9.494066076096864
3,1003,60.320410523903135,9.49529864443119
4,979,60.3218384,9.496298454037843
5,930,60.32341819856674,9.497035126207859
6,901,60.32510191822333,9.497486277530122
7,873,60.3268384,9.497638199999999
8,818,60.329443122665005,9.502410316295183
9,800,60.33196870214989,9.501733589311788
10,790,60.3343384,9.500628581056766
11,809,60.3364802141453,9.499128866646783
12,850,60.338329066646786,9.497280014145298
13,923,60.33982878105677,9.4951382
14,957,60.34093378931179,9.492768502149884
15,956,60.341610516295184,9.490242922665002
16,947,60.3418384,9.4876382
17,917,60.341610516295184,9.485033477334996
18,910,60.34093378931179,9.482507897850114
19,916,60.33982878105677,9.480138199999999
20,920,60.338329066646786,9.4779963858547
21,922,60.3364802141453,9.476147533353215
22,912,60.3343384,9.474647818943232
23,899,60.33196870214989,9.47354281068821
24,870,60.329443122665005,9.472866083704815
25,882,60.3268384,9.472638199999999
26,909,60.324233677334995,9.472866083704815
27,906,60.32170809785011,9.47354281068821
28,913,60.3193384,9.474647818943232
29,945,60.3171965858547,9.476147533353215
30,971,60.315347733353214,9.4779963858547
31,990,60.31384801894323,9.480138199999999
32,1000,60.31274301068821,9.482507897850114
33,1014,60.312066283704816,9.485033477334996
34,1020,60.3118384,9.4876382
35,1017,60.312066283704816,9.490242922665002
36,1008,60.31274301068821,9.492768502149884
37,999,60.31384801894323,9.4951382
38,1019,60.315347733353214,9.497280014145298
39,1027,60.3171965858547,9.499128866646783
40,1003,60.3193384,9.500628581056766
41,963,60.32170809785011,9.501733589311788
42,915,60.324233677334995,9.502410316295183
43,852,60.3268384,9.5026382
44,799,60.330311363553335,9.507334355060243
45,791,60.333678802866515,9.506432052415718
46,794,60.3368384,9.504958708075687
47,838,60.33969415219373,9.50295908886238
48,929,60.342159288862376,9.50049395219373
49,973,60.34415890807569,9.497638199999999
50,988,60.34563225241572,9.494478602866513
51,966,60.346534555060245,9.491111163553338
52,949,60.3468384,9.4876382
53,959,60.346534555060245,9.48416523644666
54,932,60.34563225241572,9.480797797133485
55,915,60.34415890807569,9.4776382
56,953,60.342159288862376,9.474782447806268
57,927,60.33969415219373,9.472317311137619
58,903,60.3368384,9.470317691924311
59,883,60.333678802866515,9.46884434758428
60,878,60.330311363553335,9.467942044939756
61,916,60.3268384,9.4676382
62,931,60.323365436446664,9.467942044939756
63,916,60.319997997133484,9.46884434758428
64,942,60.3168384,9.470317691924311
65,989,60.31398264780627,9.472317311137619
66,1008,60.31151751113762,9.474782447806268
67,1022,60.30951789192431,9.4776382
68,1031,60.30804454758428,9.480797797133485
69,1025,60.307142244939755,9.48416523644666
70,1036,60.3068384,9.4876382
71,1041,60.307142244939755,9.491111163553338
72,1054,60.30804454758428,9.494478602866513
73,1062,60.30951789192431,9.497638199999999
74,1116,60.31151751113762,9.50049395219373
75,1114,60.31398264780627,9.50295908886238
76,1041,60.3168384,9.504958708075687
77,1003,60.319997997133484,9.506432052415718
78,921,60.323365436446664,9.507334355060243
79,836,60.3268384,9.507638199999999
80,775,60.33117960444167,9.512258393825304
81,793,60.335388903583144,9.511130515519646
82,804,60.3393384,9.50928883509461
83,902,60.34290809024216,9.506789311077974
84,945,60.345989511077974,9.503707890242163
85,954,60.34848903509461,9.500138199999999
86,995,60.35033071551965,9.49618870358314
87,1054,60.351458593825306,9.491979404441672
88,1056,60.3518384,9.4876382
89,994,60.351458593825306,9.483296995558327
90,973,60.35033071551965,9.479087696416858
91,979,60.34848903509461,9.4751382
92,996,60.345989511077974,9.471568509757835
93,936,60.34290809024216,9.468487088922025
